股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000011,深物业A,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
000070,特发信息,成功,26,sina,sina,deep-backfill,26,
000510,新金路,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
000620,盈新发展,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
000628,高新发展,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
000636,风华高科,成功,26,sina,sina,deep-backfill,26,
000716,黑芝麻,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
000722,湖南发展,成功,26,sina,sina,deep-backfill,26,
001326,联域股份,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002094,青岛金王,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002161,远 望 谷,成功,26,sina,sina,deep-backfill,26,
002165,红 宝 丽,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002174,游族网络,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002194,武汉凡谷,成功,26,sina,sina,deep-backfill,26,
002201,九鼎新材,成功,26,sina,sina,deep-backfill,26,
002303,美盈森,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002322,理工能科,成功,26,global-cache+sina,global-cache,per-stock-incremental,12,
002382,蓝帆医疗,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002531,天顺风能,成功,26,sina,sina,deep-backfill,26,
002582,好想你,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002589,瑞康医药,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002638,勤上股份,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002659,凯文教育,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002687,乔治白,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002743,ST富煌,成功,26,global-cache+sina,global-cache,per-stock-incremental,15,
002811,郑中设计,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002851,麦格米特,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002870,香山股份,成功,26,global-cache+sina,global-cache,per-stock-incremental,19,
002912,中新赛克,成功,26,sina,sina,deep-backfill,26,
002915,中欣氟材,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002947,恒铭达,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
002949,华阳国际,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300122,智飞生物,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300169,天晟新材,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300197,节能铁汉,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300209,行云科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,14,
300319,麦捷科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300359,全通教育,成功,26,global-cache+sina,global-cache,per-stock-incremental,14,
300364,中文在线,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300530,领湃科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300563,神宇股份,成功,26,sina,sina,deep-backfill,26,
300798,锦鸡股份,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300922,天秦装备,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
300970,华绿生物,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
301399,英特科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
600409,三友化工,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
600410,华胜天成,成功,26,sina,sina,deep-backfill,26,
600468,百利电气,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
600876,凯盛新能,成功,26,sina,sina,deep-backfill,26,
600881,亚泰集团,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
601003,柳钢股份,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
601011,宝泰隆,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
601015,陕西黑猫,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
601233,桐昆股份,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
601899,紫金矿业,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603079,圣达生物,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603113,金能科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603207,小方制药,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603306,华懋科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603328,依顿电子,成功,26,sina,sina,deep-backfill,26,
603387,基蛋生物,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603533,掌阅科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603601,再升科技,成功,26,sina,sina,deep-backfill,26,
603801,志邦家居,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603823,百合花,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
603999,读者传媒,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
605058,澳弘电子,成功,26,sina,sina,deep-backfill,26,
605198,安德利,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
688300,联瑞新材,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
688432,有研硅,成功,26,global-cache+sina,global-cache,per-stock-incremental,18,
688625,呈和科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,16,
688813,泰金新能,成功,26,sina,sina,deep-backfill,26,
688825,长鑫科技,成功,26,global-cache+sina,global-cache,per-stock-incremental,18,
