股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,决策说明
000670,盈方微,7.4,0.04225352112676073,0.0277777777777779,0.04519774011299438,0.10944527736131948,-0.2629482071713146,,0.11661807580174924,-0.07035175879396982,-0.2864030858244937,0.4406779661016951,0.04247376206240738,0.034071212796513706,-0.04573749503333191,,0.029207232267037586,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,入选：按阶段2分排序第1名；本阶段上限30只
000887,中鼎股份,21.32,0.0319457889641821,0.020584011488750553,0.14377682403433467,0.24751316559391467,-0.022018348623853212,,0.09163745618427652,-0.10004221190375695,-0.10004221190375695,0.6865079365079365,0.014658290500666249,0.032226579520697074,0.001530669280843222,,-0.01751152073732709,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,2,True,入选：按阶段2分排序第2名；本阶段上限30只
001210,金房能源,29.88,0.03678001387925045,0.10462107208872462,0.4372294372294372,0.5315222962583288,0.29127052722558333,,0.1549243821468093,-0.045672309166400527,-0.045672309166400527,0.9198430493273543,0.14544199953998294,0.08080435384189655,0.03846242375417175,,0.008777852802160702,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,3,True,入选：按阶段2分排序第3名；本阶段上限30只
600547,山东黄金,37.89,0.027107617240444526,0.16548754229467866,0.3124350536889504,0.5528688524590164,0.4022945965951148,,0.14434523809523814,-0.014564369310793301,-0.20415879017013228,0.6156583629893239,0.1385387400652054,0.0648830266637912,0.04776865228577076,,-0.005250721974271566,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,4,True,入选：按阶段2分排序第4名；本阶段上限30只
600698,湖南天雁,7.68,0.042062415196743475,0.1671732522796352,0.15488721804511263,0.34736842105263155,0.23076923076923062,,0.1195499296765119,-0.035175879396984966,-0.14666666666666672,0.628169014084507,0.08735664731700399,0.042905286454403724,0.014884205048139254,,0.026737967914438387,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,5,True,入选：按阶段2分排序第5名；本阶段上限30只
603318,水发燃气,10.14,0.026315789473684292,0.1266666666666667,0.1291759465478841,0.29833546734955196,0.195754716981132,,0.08094262295081976,-0.03886255924170612,-0.3284768211920529,0.36246786632390754,0.07358390682901006,0.0324901630129284,0.01370090969602833,,-0.011695906432748426,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,6,True,入选：按阶段2分排序第6名；本阶段上限30只
603330,天洋新材,11.49,0.025892857142857162,0.14101290963257207,0.5958333333333332,0.4525916561314791,0.34701055099648315,,0.16731517509727634,-0.11136890951276102,-0.11136890951276102,0.8059299191374664,0.1449925261584455,0.09372958850424573,0.062412698412698475,,-0.019624573378839605,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,7,True,入选：按阶段2分排序第7名；本阶段上限30只
603333,尚纬股份,10.31,0.0248508946322068,0.18778801843317972,0.19190751445086707,0.30012610340479196,0.218676122931442,,0.05348133198789096,-0.04889298892988925,-0.04889298892988925,0.8531855955678672,0.08258518401848058,0.040760663686643106,0.02473323019556517,,0.0019436345966958868,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,8,True,入选：按阶段2分排序第8名；本阶段上限30只
603400,华之杰,48.38,0.04945770065075927,0.027830890163586197,0.07582832999777644,0.2671555788370876,0.01638655462184868,,0.1256604640477831,-0.06566241792197758,-0.29761904761904756,0.4599578503688094,0.0527346512462874,0.042841518186119476,-0.01995731869974471,,0.017455310199789853,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,9,True,入选：按阶段2分排序第9名；本阶段上限30只
000001,上证指数,11.91,-0.000838926174496657,0.056787932564330124,0.058666666666666645,0.1235849056603775,0.10482374768089064,,0.04442508710801392,-0.006672226855713115,-0.006672226855713115,0.96,0.042359530894451325,0.013159454653230762,0.01627266714859199,,0.011894647408666081,True,True,True,True,True,False,3,3,1,4,0,11,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,10,True,入选：按阶段2分排序第10名；本阶段上限30只
