股票代码,股票名称
000020,深华发Ａ
000059,华锦股份
000070,特发信息
000592,平潭发展
000628,高新发展
000635,英 力 特
000962,东方钽业
001268,联合精密
001330,博纳影业
001376,百通能源
002011,盾安环境
002046,国机精工
002068,黑猫股份
002107,沃华医药
002138,顺络电子
002141,贤丰控股
002185,华天科技
002194,武汉凡谷
002201,九鼎新材
002212,天融信
002281,光迅科技
002297,博云新材
002349,精华制药
002396,星网锐捷
002403,爱仕达
002491,通鼎互联
002579,中京电子
002708,光洋股份
002824,和胜股份
002870,香山股份
002902,铭普光磁
002912,中新赛克
002916,深南电路
002949,华阳国际
002975,博杰股份
002988,豪美新材
300378,鼎捷数智
300456,赛微电子
300656,民德电子
300839,博汇股份
300992,泰福泵业
301151,冠龙节能
301231,荣信文化
301489,思泉新材
301550,斯菱智驱
301630,同宇新材
600110,诺德股份
600172,黄河旋风
600403,大有能源
600551,时代出版
600967,内蒙一机
601208,东材科技
601566,九牧王
601595,上海电影
601869,长飞光纤
601872,招商轮船
601890,亚星锚链
603002,宏昌电子
603009,北特科技
603011,合锻智能
603042,华脉科技
603083,剑桥科技
603105,芯能科技
603138,海量数据
603150,万朗磁塑
603151,邦基科技股份
603221,爱丽家居
603228,景旺电子
603236,移远通信
603269,海鸥股份
603297,永新光学
603328,依顿电子
603626,科森科技
603668,天马科技
603936,博敏电子
605118,力鼎光电
605162,新中港
605168,三人行
605177,东亚药业
605288,凯迪股份
605398,新炬网络
605488,福莱新材
605580,恒盛能源
688209,英集芯科技
000002,万 科Ａ
000532,华金资本
000980,众泰汽车
001232,嘉立创
002080,中材科技
002084,海鸥住工
002172,澳洋健康
002178,延华智能
002246,北化股份
002259,升达林业
002290,禾盛新材
002300,太阳电缆
002301,齐心集团
002303,美盈森
002321,华英农业
002377,国创高新
002436,兴森科技
002564,天沃科技
002577,雷柏科技
002623,亚玛顿
002815,崇达技术
002836,新宏泽
002963,豪尔赛
002965,祥鑫科技
002989,中天精装
300112,万讯自控
300324,旋极信息
301234,五洲医疗
600127,金健米业
600354,敦煌种业
600371,万向德农
600410,华胜天成
600479,千金药业
600640,国脉文化
600792,云煤能源
600865,百大集团
601218,吉鑫科技
603016,新宏泰
603082,北自科技股份
603122,合富中国
603162,海通发展
603186,华正新材
603216,梦天家居
603375,盛景微电子
603636,南威软件
603980,吉华集团
605178,时空科技
605577,龙版传媒
688001,苏州华兴源创科技
688026,洁特生物股份
688478,晶升股份
000560,我爱我家
000607,华媒控股
000823,超声电子
000993,闽东电力
001317,三羊马
002205,国统股份
002285,世联行
002388,新亚制程
002453,华软科技
002631,德尔未来
002638,勤上股份
002768,国恩股份
002819,东方中科
002909,集泰股份
002957,科瑞技术
003031,中瓷电子
300300,海峡创新
300368,汇金股份
300829,金丹科技
300911,亿田智能
301583,托伦斯
600059,古越龙山
600330,天通股份
600397,江钨装备
600448,华纺股份
600503,华丽家族
600593,大连圣亚
600604,市北高新
600606,绿地控股
600630,龙头股份
600743,华远控股
600802,福建水泥
600843,上工申贝
601086,国芳集团
601579,会稽山
603001,奥康国际
603020,爱普股份
603052,可川科技
603068,博通集成
603093,南华期货
603118,共进股份
603120,肯特催化材料
603248,锡华科技
603353,和顺石油
603960,克来机电
603978,深圳新星
605258,协和电子
605566,福莱蒽特
688137,近岸蛋白
688292,浩瀚深度信息技术
688315,诺禾致源科技
688368,晶丰明源半导体
688655,迅捷兴科技
000710,贝瑞基因
000850,华茂股份
000910,大亚圣象
001216,华瓷股份
001234,泰慕士
002119,康强电子
002164,宁波东力
002238,天威视讯
002614,奥佳华
002849,威星智能
300110,华仁药业
300691,联合光电
600641,先导基电
600815,厦工股份
600825,新华传媒
601811,新华文轩
603230,内蒙新华
603373,安邦护卫集团股份
603396,金辰股份
603949,雪龙集团
605058,澳弘电子
688056,莱伯泰科仪器
688175,珠海高凌信息
688337,普源精电
688512,慧智微电子
688628,优利德科技
688682,霍莱沃技术
688781,视涯科技
688790,昂瑞微
603580,艾艾精工
688185,康希诺生物
